id;asn;location
"23320";"22645";"DE-CIX Dallas: DE-CIX Dallas Peering LAN"
"23321";"50083";"AMS-IX"
"23322";"50083";"NL-ix: Main"
"23323";"50083";"BNIX"
"23324";"136699";"DE-CIX Mumbai: Mumbai IX"
"23325";"135852";"Extreme IX Mumbai: Extreme IX"
"23326";"39384";"Equinix Lisbon: Equinix IX - LS Metro"
"23327";"39384";"GigaPIX - LAN 1: LAN1"
"23328";"39384";"DE-CIX Lisbon: DE-CIX Lisbon Peering LAN"
"23329";"39384";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"23330";"204708";"France-IX Paris"
"23331";"204708";"TOP-IX: Public Peering VLAN"
"23332";"204708";"LU-CIX"
"23333";"204708";"France-IX Marseille"
"23334";"19834";"Equinix Chicago"
"23335";"26762";"MegaIX Ashburn: MegaIX"
"23336";"264641";"PIT Santiago - PIT Chile: LAN"
"23337";"199421";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"23338";"327831";"DjIX"
"23339";"45489";"AMS-IX"
"23340";"45489";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"23341";"45489";"DE-CIX New York: DE-CIX New York Peering LAN"
"23342";"45489";"DE-CIX Marseille: DE-CIX Marseille Peering LAN"
"23343";"45489";"Equinix Singapore"
"23344";"45489";"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
"23345";"45489";"DE-CIX Hamburg: DE-CIX Hamburg Peering LAN"
"23346";"45489";"DE-CIX Munich: DE-CIX Munich Peering LAN"
"23347";"45489";"JPNAP Tokyo: Peering"
"23348";"60474";"4b42 Internet Exchange Point: Switzerland"
"23349";"60474";"LocIX Frankfurt: Peering LAN"
"23350";"60474";"KleyReX: Peering LAN"
"23351";"60474";"IXP HEL: Finland"
"23352";"60474";"IXP NUR: Germany"
"23353";"60474";"IXP LON: United Kingdom"
"23354";"60474";"IXP BAT: Indonesia"
"23355";"60474";"IXP STR: Main"
"23356";"60474";"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
"23357";"60474";"Speed-IX: SPEED-IX"
"23358";"60474";"SBIX DUS"
"23359";"33333";"VANIX"
"23360";"15426";"AMS-IX"
"23361";"15426";"NL-ix: Main"
"23362";"47381";"BiX"
"23363";"48797";"CIX"
"23364";"263934";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23365";"32389";"MASS-IX: ISP Peering LAN"
"23366";"262738";"IX.br (PTT.br) Campina Grande: ATM/MPLA"
"23367";"61686";"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
"23368";"10022";"APE"
"23369";"10022";"MegaIX Auckland: MegaIX"
"23370";"10022";"WIX-NZ"
"23371";"205488";"InterLAN: InterLAN Peering Network"
"23372";"56864";"Eurasia Peering IX: Peering LAN"
"23373";"56864";"DATAIX"
"23374";"45240";"MegaIX Sydney: MegaIX"
"23375";"31004";"SwissIX: Peering"
"23376";"56847";"BALT-IX: BALT-IX"
"23377";"56847";"Litix: Litix"
"23378";"56847";"LIXP: public peering vlan"
"23379";"53788";"Phoenix IX: Production"
"23380";"204662";"KleyReX: Peering LAN"
"23381";"8637";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"23382";"8637";"NIXVAL-ix: Peering LAN1"
"23383";"8637";"ESPANIX Madrid Lower LAN"
"23384";"20655";"Eurasia Peering IX: Peering LAN"
"23385";"20655";"DATAIX"
"23386";"20655";"MSK-IX Moscow: MSK-IX peering network"
"23387";"20655";"PITER-IX Moscow: MSK_PEERING_VLAN"
"23388";"18390";"Equinix Sydney"
"23389";"18390";"MegaIX Sydney: MegaIX"
"23390";"131446";"Equinix Sydney"
"23391";"62184";"KleyReX: Peering LAN"
"23392";"50392";"GigaNET: Global exchange"
"23393";"50392";"UA-IX"
"23394";"200478";"Equinix Hong Kong"
"23395";"200478";"AMS-IX"
"23396";"15011";"MICE: Shared Peering"
"23397";"136376";"Extreme IX Mumbai: Extreme IX"
"23398";"9829";"DE-CIX Mumbai: Mumbai IX"
"23399";"9829";"NIXI Chennai"
"23400";"9829";"NIXI Bangalore"
"23401";"9829";"NIXI Delhi"
"23402";"9829";"NIXI Mumbai"
"23403";"205344";"France-IX Paris"
"23404";"205344";"Equinix Paris: Equinix IX - PA Metro"
"23405";"57111";"MIX-IT"
"23406";"57111";"LINX LON1: Main"
"23407";"57111";"France-IX Paris"
"23408";"57111";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"23409";"57111";"TOP-IX: Public Peering VLAN"
"23410";"57111";"AMS-IX"
"23411";"57111";"MINAP Milan: MINAP"
"23412";"54033";"PhillyIX"
"23413";"57199";"LyonIX: lyonix-peering"
"23414";"57199";"Lillix"
"23415";"57199";"BreizhIX: BREIZHIX-PEERING-LAN"
"23416";"57199";"France-IX Paris"
"23417";"57199";"France-IX Marseille"
"23418";"196695";"Eurasia Peering IX: Peering LAN"
"23419";"49052";"InterLAN: InterLAN Peering Network"
"23420";"24253";"JPIX TOKYO"
"23421";"24253";"BBIX Tokyo"
"23422";"10036";"KINX"
"23423";"60430";"RED-IX"
"23424";"43154";"KRS-IX"
"23425";"133692";"Extreme IX Delhi: Extreme IX LAN"
"23426";"44380";"Global-IX"
"23427";"44380";"DATAIX"
"23428";"205148";"CIX KR"
"23429";"205148";"EPIX.Katowice"
"23430";"205148";"KleyReX: Peering LAN"
"23431";"205148";"LNK-IX: Peering VLAN"
"23432";"49763";"France-IX Paris"
"23433";"266537";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23434";"136175";"SIX Seattle: MTU 1500"
"23435";"61553";"CABASE-UAQ - IX Argentina (San Juan): UAQ"
"23436";"137144";"AMS-IX India"
"23437";"265066";"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
"23438";"204858";"ESPANIX Madrid Lower LAN"
"23439";"12824";"Equinix Warsaw"
"23440";"12824";"EPIX.Warszawa-KIX"
"23441";"17608";"KINX"
"23442";"328119";"NAPAfrica IX Johannesburg: Peering"
"23443";"200070";"LINX LON1: Main"
"23444";"200070";"LINX LON2"
"23445";"200070";"JPNAP Tokyo: Peering"
"23446";"200070";"VIX"
"23447";"59959";"Peering.cz"
"23448";"328255";"NAPAfrica IX Johannesburg: Peering"
"23449";"136779";"Equinix Tokyo"
"23450";"136779";"BBIX Tokyo"
"23451";"205614";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"23452";"205614";"KleyReX: Peering LAN"
"23453";"205614";"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
"23454";"205614";"DE-CIX Hamburg: DE-CIX Hamburg Peering LAN"
"23455";"205614";"DE-CIX Munich: DE-CIX Munich Peering LAN"
"23456";"3249";"MSK-IX Moscow: MSK-IX peering network"
"23457";"3249";"MSK-IX Saint-Petersburg: MSK-IX Saint-Petersburg peering network"
"23458";"265359";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23459";"266657";"SCL-IX Chile: Main"
"23460";"136989";"MegaIX Sydney: MegaIX"
"23461";"13170";"FICIX 2 (Helsinki): IPv4+IPv6 MTU 1500"
"23462";"13170";"FICIX 3 (Oulu): IPv4+IPv6 MTU 1500"
"23463";"13170";"FICIX 1 (Espoo): IPv4+IPv6 MTU 1500"
"23464";"13170";"DATAIX"
"23465";"13170";"AMS-IX"
"23466";"13170";"Netnod Stockholm GREEN -- MTU1500: STH-A -- MTU1500"
"23467";"13170";"Netnod Stockholm BLUE -- MTU1500: STH-B -- MTU1500"
"23468";"136302";"Extreme IX Mumbai: Extreme IX"
"23469";"37558";"DE-CIX Palermo: DE-CIX Palermo Peering LAN"
"23470";"37558";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"23471";"49020";"A.IX"
"23472";"17889";"Equinix Sydney"
"23473";"17889";"IX Australia (Sydney NSW): NSW-IX"
"23474";"267196";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23475";"263699";"CABASE-SFE - IX Argentina (Santa Fe): SFE"
"23476";"57642";"France-IX Paris"
"23477";"57642";"Equinix Paris: Equinix IX - PA Metro"
"23478";"267199";"IX.br (PTT.br) Porto Alegre: ATM/MPLA"
"23479";"44979";"A.IX"
"23480";"39010";"Beirut IX"
"23481";"39010";"A.IX"
"23482";"20874";"A.IX"
"23483";"136625";"Extreme IX Delhi: Extreme IX LAN"
"23484";"26457";"KCIX"
"23485";"33452";"CoreSite - Any2 Silicon Valley"
"23486";"33452";"CoreSite - Any2 California"
"23487";"33452";"FCIX"
"23488";"33452";"SFMIX"
"23489";"200615";"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
"23490";"200615";"DE-CIX Munich: DE-CIX Munich Peering LAN"
"23491";"200615";"DE-CIX Hamburg: DE-CIX Hamburg Peering LAN"
"23492";"131248";"Equinix Sydney"
"23493";"267203";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23494";"60426";"LINX LON1: Main"
"23495";"60426";"LINX LON2"
"23496";"60426";"LONAP: LON0"
"23497";"204995";"AMS-IX"
"23498";"266989";"IX.br (PTT.br) Curitiba: ATM/MPLA"
"23499";"266989";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23500";"266989";"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
"23501";"267175";"IX.br (PTT.br) Fortaleza: ATM/MPLA"
"23502";"267175";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23503";"45661";"Extreme IX Mumbai: Extreme IX"
"23504";"61659";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23505";"266977";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23506";"204543";"Speed-IX: SPEED-IX"
"23507";"204543";"KleyReX: Peering LAN"
"23508";"327897";"NAPAfrica IX Johannesburg: Peering"
"23509";"327897";"NAPAfrica IX Cape Town"
"23510";"263591";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23511";"137083";"Extreme IX Mumbai: Extreme IX"
"23512";"267452";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23513";"39251";"BIX.BG: Main"
"23514";"39251";"B-IX"
"23515";"39251";"NetIX: NetIX"
"23516";"263985";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23517";"39798";"MD-IX"
"23518";"39798";"KIVIX: Main"
"23519";"266923";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23520";"328220";"NAPAfrica IX Johannesburg: Peering"
"23521";"328220";"NAPAfrica IX Cape Town"
"23522";"328220";"NAPAfrica IX Durban"
"23523";"198612";"Netnod Stockholm GREEN -- MTU1500: STH-A -- MTU1500"
"23524";"198612";"Netnod Stockholm BLUE -- MTU1500: STH-B -- MTU1500"
"23525";"267113";"IX.br (PTT.br) Porto Alegre: ATM/MPLA"
"23526";"267113";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23527";"204625";"LocIX Frankfurt: Peering LAN"
"23528";"204625";"KleyReX: Peering LAN"
"23529";"204625";"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
"23530";"204625";"DE-CIX Munich: DE-CIX Munich Peering LAN"
"23531";"204625";"DE-CIX Hamburg: DE-CIX Hamburg Peering LAN"
"23532";"204625";"LocIX Dusseldorf: Peering LAN"
"23533";"31914";"MBIX: Public Peering"
"23534";"264002";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23535";"136786";"CNX: Internet Peering"
"23536";"203146";"KleyReX: Peering LAN"
"23537";"203146";"KCIX"
"23538";"9654";"MMIX: MMIX YGN Peering LAN"
"23539";"262671";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23540";"13329";"KCIX"
"23541";"200358";"LocIX Frankfurt: Peering LAN"
"23542";"200358";"Speed-IX: SPEED-IX"
"23543";"264189";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23544";"206059";"TOUIX"
"23545";"263434";"IX.br (PTT.br) Manaus: ATM/MPLA"
"23546";"64404";"Asteroid Amsterdam: Asteroid Amsterdam Peering LAN"
"23547";"64404";"Speed-IX: SPEED-IX"
"23548";"136480";"MMIX: MMIX YGN Peering LAN"
"23549";"132148";"MMIX: MMIX YGN Peering LAN"
"23550";"63998";"MMIX: MMIX YGN Peering LAN"
"23551";"134739";"MMIX: MMIX YGN Peering LAN"
"23552";"131929";"BBIX Tokyo"
"23553";"131929";"BBIX Osaka"
"23554";"133524";"MMIX: MMIX YGN Peering LAN"
"23555";"328270";"NAPAfrica IX Johannesburg: Peering"
"23556";"135817";"Extreme IX Mumbai: Extreme IX"
"23557";"135817";"NIXI Mumbai"
"23558";"135817";"NIXI Delhi"
"23559";"135817";"Extreme IX Delhi: Extreme IX LAN"
"23560";"206642";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"23561";"205718";"ESPANIX Madrid Lower LAN"
"23562";"205718";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"23563";"31276";"BCIX: BCIX Peering LAN"
"23564";"39136";"NL-ix: Main"
"23565";"30764";"Peering.cz"
"23566";"30764";"NIX.CZ: Public peering VLAN"
"23567";"133930";"MegaIX Melbourne: MegaIX"
"23568";"133930";"Equinix Sydney"
"23569";"133930";"Equinix Melbourne"
"23570";"133930";"MegaIX Sydney: MegaIX"
"23571";"266655";"PIT Santiago - PIT Chile: LAN"
"23572";"266655";"PIT Temuco - PIT Chile: LAN"
"23573";"20943";"Netnod Lulea -- MTU9K: 9K-BLUE"
"23574";"48205";"KIVIX: Main"
"23575";"60752";"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
"23576";"327992";"GIXA: Peering LAN"
"23577";"137490";"KleyReX: Peering LAN"
"23578";"137490";"LocIX Frankfurt: Peering LAN"
"23579";"137490";"Speed-IX: SPEED-IX"
"23580";"137490";"LocIX Netherlands: Peering LAN"
"23581";"137490";"EVIX: Peering LAN"
"23582";"137490";"4b42 Internet Exchange Point: Switzerland"
"23583";"137490";"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
"23584";"265656";"PIT Santiago - PIT Chile: LAN"
"23585";"265656";"PIT Temuco - PIT Chile: LAN"
"23586";"206934";"LINX LON1: Main"
"23587";"206689";"JPNAP Tokyo: Peering"
"23588";"206052";"TPIX Warsaw"
"23589";"59572";"EPIX.Warszawa-KIX"
"23590";"134736";"MMIX: MMIX YGN Peering LAN"
"23591";"24645";"LIXP: public peering vlan"
"23592";"24645";"BALT-IX: BALT-IX"
"23593";"24645";"Litix: Litix"
"23594";"137065";"Equinix Hong Kong"
"23595";"24263";"BBIX Tokyo"
"23596";"62113";"NL-ix: Main"
"23597";"61666";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23598";"11979";"Digital Realty Atlanta"
"23599";"11979";"Equinix Chicago"
"23600";"263523";"IX.br (PTT.br) Campina Grande: ATM/MPLA"
"23601";"204598";"LINX LON1: Main"
"23602";"204598";"LINX LON2"
"23603";"205100";"N-IX: Peering"
"23604";"34971";"MINAP Milan: MINAP"
"23605";"34971";"Speed-IX: SPEED-IX"
"23606";"43848";"VIX"
"23607";"31236";"RIX"
"23608";"264013";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23609";"196776";"EPIX.Katowice"
"23610";"206663";"INEX LAN1: INEX LAN1"
"23611";"206663";"INEX LAN2"
"23612";"26459";"Equinix Ashburn"
"23613";"26459";"CoreSite - Any2 California"
"23614";"26459";"CoreSite - Any2 Silicon Valley"
"23615";"26459";"AMS-IX BA"
"23616";"26459";"Equinix San Jose"
"23617";"9253";"HKIX: HKIX Peering LAN"
"23618";"4785";"BBIX Tokyo"
"23619";"4785";"BBIX Osaka"
"23620";"4785";"JPIX OSAKA"
"23621";"7727";"IXP-HN"
"23622";"52169";"EPIX.Katowice"
"23623";"207071";"EVIX: Peering LAN"
"23624";"207071";"UNM-Exch Canada-West: Main"
"23625";"55182";"Equinix Dallas"
"23626";"55182";"Equinix Ashburn"
"23627";"59107";"JPIX TOKYO"
"23628";"204571";"KleyReX: Peering LAN"
"23629";"134305";"Extreme IX Hyderabad: Extreme IX LAN"
"23630";"328278";"NAPAfrica IX Cape Town"
"23631";"328278";"NAPAfrica IX Johannesburg: Peering"
"23632";"2682";"QIX"
"23633";"2682";"VANIX"
"23634";"135808";"Extreme IX Chennai: Extreme IX LAN"
"23635";"267277";"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
"23636";"61784";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23637";"394957";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23638";"33548";"FCIX"
"23639";"33548";"CoreSite - Any2 California"
"23640";"135801";"Extreme IX Chennai: Extreme IX LAN"
"23641";"5760";"Boston Internet Exchange"
"23642";"266574";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23643";"40630";"Phoenix IX: Production"
"23644";"40630";"MASS-IX: ISP Peering LAN"
"23645";"204880";"EPIX.Warszawa-KIX"
"23646";"204880";"LocIX Frankfurt: Peering LAN"
"23647";"204880";"KleyReX: Peering LAN"
"23648";"204880";"36C3-YOLOIXP: Main"
"23649";"45433";"DE-CIX Mumbai: Mumbai IX"
"23650";"47548";"LyonIX: lyonix-peering"
"23651";"47548";"Equinix Paris: Equinix IX - PA Metro"
"23652";"263032";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23653";"198330";"LyonIX: lyonix-peering"
"23654";"199473";"EPIX.Warszawa-KIX"
"23655";"137166";"Extreme IX Mumbai: Extreme IX"
"23656";"137166";"DE-CIX Mumbai: Mumbai IX"
"23657";"31445";"Thinx"
"23658";"267282";"IX.br (PTT.br) Recife: ATM/MPLA"
"23659";"131927";"JPIX TOKYO"
"23660";"203261";"EPIX.Katowice"
"23661";"203261";"TPIX Warsaw"
"23662";"204805";"NL-ix: Main"
"23663";"204805";"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
"23664";"204805";"LINX LON1: Main"
"23665";"204805";"MIX-IT"
"23666";"136879";"OpenIXP / NiCE"
"23667";"136879";"CDIX"
"23668";"136879";"IIX-Jakarta"
"23669";"135761";"ANI-IX Delhi"
"23670";"204981";"France-IX Paris"
"23671";"28161";"IX.br (PTT.br) Fortaleza: ATM/MPLA"
"23672";"28161";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23673";"28161";"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
"23674";"28161";"IX.br (PTT.br) Brasília: ATM/MPLA"
"23675";"28161";"IX.br (PTT.br) Curitiba: ATM/MPLA"
